"male","essay_link","essay_length","Class","tech","technology","math","computer","geek","science","fixing","climbing","matrix","electronic","internet","skiing","solving","nerdy","board","brain","shawshank","figuring","firefly","company","build","hobbies","golf","card","occasionally","guide","lists","section","recent","awesome","law","lol","justice","im","studying","animals","political","artist","spiritual","student","tattoos","health","education1","romance","dont","adult","teaching","haha","ipod","native","baseball","major","lover","school","psychology","loves","loyal","nyc","singing","kids","offspring_A","pets_A","atheist","smoke","single","town_A","SV","rel_imp","sign_imp","age_A","age_dummy","body_type_A","diet_A","drinks_A","education_A","phdYN","educ_dummy1","educ_dummy2","height_A","income100000","UnionDummy"
"f","no",7.21376830811864,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","medium","no","missing","1","32","yes","athletic","diet_missing","socially","university","no","no","yes","65","no","no"
"f","no",7.32251043399739,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","low","no","missing","1","50+","no","athletic","other","socially","university","no","no","yes","64","no","no"
"f","no",7.72001794043224,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","yes","no","yes","yes","no","no","no","no","no","no","no","no","yes","kids_missing","no_animals","no","altro","yes","san_francisco","no","1","1","29","yes","average","vegan","socially","other","no","yes","no","65","no","no"
"m","no",7.76089319585102,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","37","yes","fit","diet_missing","not_at_all","university","no","no","yes","71","no","no"
"m","no",7.4079243225596,"other","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","san_francisco","no","missing","missing","27","yes","body_type_missing","anything","socially","university","no","no","yes","75+","no","yes"
"m","yes",8.13211877295581,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","0","1","34","yes","athletic","anything","socially","masters_program","no","no","yes","74","no","no"
"m","yes",8.38822281011928,"stem","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","medium","no","1","0","28","yes","over_size","diet_missing","often","ed_missing","no","yes","no","71","no","no"
"f","no",7.37588214821501,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","wants","has_animals","no","altro","yes","san_francisco","no","missing","0","40-44","no","fit","anything","socially","university","no","no","yes","66","no","no"
"f","no",7.26122509197192,"stem","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","no_animals","no","altro","yes","high","no","2","1","29","yes","over_size","anything","socially","university","no","no","yes","64","no","no"
"f","yes",8.11282747875137,"other","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","altro","medium","no","0","1","28","yes","over_size","diet_missing","socially","university","no","no","yes","65","no","no"
"m","yes",8.11790894238315,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","yes","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","wants","likes_animals","no","altro","yes","san_francisco","no","1","0","25","yes","athletic","other","socially","work_phd_mast","no","yes","no","68","no","no"
"m","no",5.4249500174814,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","SV","yes","missing","0","29","yes","athletic","diet_missing","socially","other","no","yes","no","68","no","yes"
"m","no",7.05444965813294,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","wants","has_animals","no","altro","yes","san_francisco","no","2","missing","27","yes","athletic","other","socially","university","no","no","yes","72","no","no"
"m","no",7.41997992366183,"stem","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","kids_missing","likes_animals","no","altro","yes","high","no","missing","0","40-44","no","athletic","diet_missing","socially","masters_program","no","no","yes","69","yes","no"
"m","no",8.33327035325531,"other","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","medium","no","3","missing","50+","no","fit","diet_missing","socially","masters_program","no","no","yes","70","no","yes"
"m","yes",7.80261806344267,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","1","29","yes","thin","anything","rarely","other","no","yes","no","75+","no","no"
"m","no",6.55819780281227,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","san_francisco","no","missing","missing","27","yes","athletic","diet_missing","very_often","other","no","yes","no","75+","no","no"
"f","yes",7.92371033396924,"other","yes","no","no","no","yes","yes","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","1","missing","26","yes","over_size","anything","socially","university","no","no","yes","67","no","yes"
"m","no",7.87435882472988,"stem","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","yes","altro","altro","medium","no","0","0","29","yes","fit","diet_missing","rarely","university","no","no","yes","72","no","no"
"m","no",7.3790081276283,"other","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","san_francisco","no","missing","missing","22","no","fit","vegan","socially","other","no","yes","no","70","no","no"
"m","no",6.39692965521615,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","1","29","yes","body_type_missing","diet_missing","often","ed_missing","no","yes","no","67","no","no"
"m","no",6.87109129461055,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","28","yes","thin","anything","socially","university","no","no","yes","67","no","no"
"m","no",7.2291138777933,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","has_kids","likes_animals","yes","altro","yes","san_francisco","no","1","1","50+","no","fit","anything","socially","dropped","no","no","no","71","no","no"
"m","no",7.78322401633604,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","33","yes","average","diet_missing","not_at_all","masters_program","no","no","yes","65","no","no"
"m","no",7.97659540931658,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","1","50+","no","fit","diet_missing","rarely","university","no","no","yes","68","no","no"
"m","no",4.93447393313069,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","missing","31","yes","athletic","diet_missing","socially","university","no","no","yes","69","no","no"
"f","no",7.83834331555712,"other","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","doesnt_want","has_animals","no","altro","yes","high","no","missing","missing","33","yes","thin","vegan","socially","university","no","no","yes","66","no","no"
"f","no",6.52356230614951,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","likes_animals","no","altro","yes","medium","no","2","missing","25","yes","thin","vegetarian","socially","work_other","no","no","yes","69","no","no"
"f","no",7.05789793741186,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","has_kids","no_animals","no","altro","yes","low","no","1","missing","45-49","no","average","anything","often","ed_missing","no","yes","no","63","no","no"
"f","no",7.06304816338817,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","29","yes","fit","diet_missing","socially","university","no","no","yes","62","no","no"
"f","no",7.47929963778283,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","has_animals","no","altro","yes","medium","no","missing","missing","40-44","no","average","diet_missing","socially","work_other","no","no","yes","66","no","no"
"m","no",6.16541785423142,"stem","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","pets_missing","no","altro","yes","san_francisco","no","1","1","36","yes","fit","diet_missing","socially","university","no","no","yes","72","no","no"
"f","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","medium","no","missing","missing","23","no","average","diet_missing","socially","ed_missing","no","yes","no","63","no","no"
"m","no",7.93844555116479,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","yes","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","1","18-21","no","thin","anything","socially","other","no","yes","no","69","no","no"
"m","no",3.85014760171006,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","san_francisco","no","missing","missing","24","no","thin","diet_missing","socially","ed_missing","no","yes","no","67","no","no"
"m","no",7.50273821075485,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","wants","likes_animals","no","altro","yes","san_francisco","no","1","missing","32","yes","average","anything","often","masters_program","no","no","yes","73","no","no"
"m","no",7.15383380157884,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","doesnt_have_kids","likes_animals","no","altro","altro","san_francisco","no","missing","missing","29","yes","average","anything","socially","university","no","no","yes","71","no","no"
"f","no",8.28248300373056,"stem","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","likes_animals","no","altro","yes","san_francisco","no","1","0","22","no","fit","anything","socially","university","no","no","yes","65","no","no"
"f","no",7.93808872689695,"stem","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","altro","san_francisco","no","0","1","27","yes","average","diet_missing","rarely","university","no","no","yes","61-","no","no"
"m","yes",7.25276241805319,"other","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","likes_animals","no","altro","yes","san_francisco","no","0","0","27","yes","fit","other","socially","university","no","no","yes","65","no","yes"
"m","no",8.23004431012611,"other","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","wants","likes_animals","yes","altro","yes","low","no","1","missing","30","yes","thin","anything","rarely","university","no","no","yes","73","no","yes"
"m","no",6.8596149036542,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","1","missing","32","yes","body_type_missing","diet_missing","socially","masters_program","no","no","yes","67","no","no"
"f","no",7.41276401742656,"stem","yes","no","no","no","yes","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","low","no","1","0","34","yes","fit","anything","socially","phd_program","yes","no","no","63","no","yes"
"f","no",7.40671073017764,"other","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","doesnt_have_kids","no_animals","no","altro","yes","san_francisco","no","missing","missing","31","yes","average","other","socially","university","no","no","yes","67","no","no"
"m","no",6.15060276844628,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","yes","altro","yes","san_francisco","no","0","0","22","no","a_little_extra","anything","socially","dropped_university","no","no","no","75+","no","no"
"f","no",6.289715570909,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","wants","pets_missing","no","altro","yes","medium","no","missing","missing","25","yes","body_type_missing","diet_missing","socially","other","no","yes","no","61-","no","no"
"f","no",8.45105338891169,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","san_francisco","no","missing","0","50+","no","fit","anything","socially","dropped_university","no","no","no","68","no","no"
"f","no",7.73236922228439,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","no_animals","no","altro","yes","san_francisco","no","3","2","45-49","no","thin","diet_missing","not_at_all","university","no","no","yes","70","no","no"
"m","yes",8.51539156946961,"other","no","no","no","no","no","yes","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","3","1","34","yes","thin","diet_missing","rarely","masters_program","no","no","yes","74","no","no"
"f","no",6.33682573114644,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","kids_missing","has_animals","no","altro","yes","SV","yes","missing","missing","50+","no","athletic","anything","often","other","no","yes","no","68","no","yes"
"m","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","39","yes","thin","anything","socially","other","no","yes","no","75+","no","no"
"m","no",7.60090245954208,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","kids_missing","has_animals","no","altro","yes","low","no","missing","1","24","no","thin","anything","not_at_all","dropped","no","no","no","68","no","no"
"m","no",6.04973345523196,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","wants","pets_missing","no","yes","yes","SV","yes","1","0","26","yes","average","diet_missing","socially","work_other","no","no","yes","70","no","yes"
"f","no",6.04263283368238,"other","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","kids_missing","has_animals","no","altro","yes","san_francisco","no","missing","1","24","no","body_type_missing","diet_missing","socially","university","no","no","yes","65","no","no"
"m","no",8.02289686960146,"other","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","yes","no","no","yes","kids_missing","pets_missing","no","altro","yes","SV","yes","1","0","45-49","no","athletic","diet_missing","often","masters_program","no","no","yes","71","no","yes"
"f","no",6.76734312526539,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","30","yes","body_type_missing","diet_missing","socially","university","no","no","yes","63","no","no"
"f","no",7.93487156594518,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","yes","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","0","31","yes","body_type_missing","diet_missing","socially","work_phd_mast","no","yes","no","65","no","no"
"f","no",5.75574221358691,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","yes","low","no","missing","1","35","yes","average","anything","socially","university","no","no","yes","63","no","no"
"m","no",8.04782935745784,"stem","yes","no","no","yes","no","yes","no","no","yes","no","yes","yes","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","yes","no","no","no","yes","no","no","kids_missing","pets_missing","yes","altro","yes","san_francisco","no","0","0","25","yes","fit","anything","socially","university","no","no","yes","69","no","yes"
"f","no",7.28824440102012,"other","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","no","altro","yes","san_francisco","no","missing","missing","40-44","no","athletic","diet_missing","socially","university","no","no","yes","62","no","no"
"m","no",7.85593219971861,"other","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","yes","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","yes","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","SV","yes","0","0","28","yes","thin","diet_missing","socially","ed_missing","no","yes","no","71","no","yes"
"m","no",7.18083119904456,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_want","no_animals","no","altro","yes","san_francisco","no","1","0","35","yes","average","anything","very_often","university","no","no","yes","70","no","no"
"m","no",7.38647084882989,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","yes","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","kids_missing","likes_animals","yes","altro","yes","san_francisco","no","missing","missing","26","yes","thin","diet_missing","socially","university","no","no","yes","75+","no","no"
"m","yes",7.74022952476318,"stem","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","kids_missing","pets_missing","no","altro","yes","san_francisco","no","missing","missing","25","yes","athletic","anything","socially","masters_program","no","no","yes","66","no","yes"
"f","no",0,"other","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","has_kids","has_animals","no","altro","altro","medium","no","2","1","40-44","no","fit","diet_missing","socially","university","no","no","yes","72","no","no"
"m","no",7.16626597413364,"stem","no","no","no","yes","no","no","no","no","no","yes","yes","no","no","no","no","no","no","no","yes","yes","no","no","no","yes","no","no","no","no","yes","no","no","no","no","yes","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","doesnt_have_kids","no_animals","no","altro","yes","medium","no","missing","0","23","no","a_little_extra","anything","socially","masters_program","no","no","yes","72","no","yes"
